n_ues,snr,miss_mean,miss_ci_low,miss_ci_high,savings_mean,switches_mean,total_arrivals,total_misses
1,20,0.8809911812635679,0.8499955146056942,0.9128232017387744,70.468,33.620000000000005,339958,2995
2,20,2.172639541217459,2.1382195062978395,2.2074660505103108,70.3835,34.410000000000004,681107,14798
2,22,1.2147871039352114,1.1889782079453834,1.241010613839284,75.487,37.575,681107,8274
2,25,0.4319438795960106,0.4165791913880948,0.4477298305746229,81.49950000000001,42.78,681107,2942
5,20,2.8292097296782464,2.8043721622746385,2.8542078315329458,70.647,34.558,1700899,48122
5,22,1.6970437398105356,1.6777152582405344,1.7165366087793628,75.75999999999999,37.086,1700899,28865
5,25,0.6870484373263785,0.67471836927145,0.6995463296520815,81.6978,41.586,1700899,11686
