Method,Lower,Upper,Notes
Point Estimate,0.00012007922589805406,0.00012007922589805406,455/3789165 misses
Clopper-Pearson (95%),0.00010929842818748281,0.0001316357164257079,Exact binomial CI
Wilson Score (95%),0.00010954161601660636,0.00013163039216154264,Better for small proportions
Bootstrap (95%),8.085549695194495e-05,0.00016573774521229712,"10000 resamples, std=0.000022"
