load,snr,miss_mean,miss_std,savings_mean,switches_mean,urllc,deploy
0.7,15,4.021983936895966,0.22096023548027072,50.39,25.380000000000003,False,True
0.7,18,1.7250938871750006,0.36224980394213074,63.775999999999996,28.919999999999998,False,True
0.7,20,0.8469685784175196,0.15259952480002342,71.346,34.4,True,True
0.7,22,0.41116290951899065,0.1251238929558155,75.90400000000001,38.36,True,True
0.7,25,0.1092169162872813,0.03698862124602676,82.58800000000001,42.36,True,True
0.75,15,4.021983936895966,0.22096023548027072,50.39,25.380000000000003,False,True
0.75,18,1.7250938871750006,0.36224980394213074,63.775999999999996,28.919999999999998,False,True
0.75,20,0.8469685784175196,0.15259952480002342,71.346,34.4,True,True
0.75,22,0.41116290951899065,0.1251238929558155,75.90400000000001,38.36,True,True
0.75,25,0.1092169162872813,0.03698862124602676,82.58800000000001,42.36,True,True
0.8,15,4.021983936895966,0.22096023548027072,50.39,25.380000000000003,False,True
0.8,18,1.7250938871750006,0.36224980394213074,63.775999999999996,28.919999999999998,False,True
0.8,20,0.8469685784175196,0.15259952480002342,71.346,34.4,True,True
0.8,22,0.41116290951899065,0.1251238929558155,75.90400000000001,38.36,True,True
0.8,25,0.1092169162872813,0.03698862124602676,82.58800000000001,42.36,True,True
0.85,15,4.021983936895966,0.22096023548027072,50.39,25.380000000000003,False,True
0.85,18,1.7250938871750006,0.36224980394213074,63.775999999999996,28.919999999999998,False,True
0.85,20,0.8469685784175196,0.15259952480002342,71.346,34.4,True,True
0.85,22,0.41116290951899065,0.1251238929558155,75.90400000000001,38.36,True,True
0.85,25,0.1092169162872813,0.03698862124602676,82.58800000000001,42.36,True,True
0.9,15,4.021983936895966,0.22096023548027072,50.39,25.380000000000003,False,True
0.9,18,1.7250938871750006,0.36224980394213074,63.775999999999996,28.919999999999998,False,True
0.9,20,0.8469685784175196,0.15259952480002342,71.346,34.4,True,True
0.9,22,0.41116290951899065,0.1251238929558155,75.90400000000001,38.36,True,True
0.9,25,0.1092169162872813,0.03698862124602676,82.58800000000001,42.36,True,True
