n_ues,snr,miss_mean,miss_std,savings_mean,switches_mean,fairness_mean
1,20,17.27825440760053,0.7203281535434629,52.11,50.65999999999999,1.0
1,22,14.508822246562811,0.6331605994303139,57.444,52.660000000000004,1.0
1,25,10.91161069072655,0.5784092572482573,64.378,55.56,1.0
2,20,17.129780523118605,0.32171169958288176,52.463,50.76,0.990397023384876
2,22,14.607359415023847,0.2945572644230137,57.845000000000006,53.56,0.9870414220662113
2,25,10.973681388907494,0.33358389258216337,64.818,57.06999999999999,0.9733464762614146
5,20,29.01999022603519,1.12843241928508,5.8144,5.880000000000001,0.3542952725897187
5,22,25.477294981963063,0.9883748106857518,8.521600000000001,8.104000000000001,0.3171047279760132
5,25,20.811698865734645,0.7575482895031375,13.282,12.172,0.27680064835324314
