param,value,miss_prob_mean,miss_prob_lo,miss_prob_hi,savings_mean,savings_lo,savings_hi,switches_mean,switches_lo,switches_hi,urllc_compliant,deployable
q_low,2.0,0.005861540215690608,-0.001428045983936502,0.013151126415317717,85.348,84.68812186653436,86.00787813346564,45.459999999999994,43.810640750577136,47.10935924942285,True,True
q_low,4.0,0.005861540215690608,-0.001428045983936502,0.013151126415317717,85.987,85.37963385440237,86.59436614559762,46.06000000000001,44.45963150095348,47.66036849904654,True,True
q_low,6.0,0.005861540215690608,-0.001428045983936502,0.013151126415317717,86.593,86.02330306612821,87.1626969338718,46.5,44.81624981475384,48.18375018524616,True,True
q_low,8.0,0.005861540215690608,-0.001428045983936502,0.013151126415317717,87.247,86.67162245151522,87.82237754848478,47.14,45.28184599726727,48.99815400273273,True,True
q_low,10.0,0.006596978944114651,-0.0029047565645381208,0.01609871445276742,87.88600000000001,87.34089574282517,88.43110425717485,48.080000000000005,46.004834677240325,50.155165322759686,True,True
q_low,12.0,0.006596978944114651,-0.0029047565645381208,0.01609871445276742,88.50500000000001,87.95032027326958,89.05967972673044,49.68,47.50372590438193,51.85627409561807,True,True
q_crit,10.0,0.00425408312488208,-0.002512306397763518,0.011020472647527677,85.09200000000001,84.47235610272529,85.71164389727474,61.5,58.73107691978889,64.26892308021111,True,False
q_crit,12.0,0.005080574942613084,-0.0016485642706809255,0.011809714155907093,85.67699999999999,85.04927640966518,86.3047235903348,54.69,52.265876962833666,57.11412303716633,True,False
q_crit,15.0,0.005861540215690608,-0.001428045983936502,0.013151126415317717,86.593,86.02330306612821,87.1626969338718,46.5,44.81624981475384,48.18375018524616,True,True
q_crit,18.0,0.04080057226459234,0.022430555429571175,0.05917058909961351,87.54100000000001,86.88608086596622,88.1959191340338,39.9,38.069344666714166,41.73065533328583,True,True
q_crit,20.0,0.17954762961164436,0.15027159007460855,0.20882366914868017,88.124,87.41524530620876,88.83275469379123,36.02,34.027874079070195,38.01212592092981,True,True
q_crit,25.0,0.8465351042169603,0.7823109870795574,0.9107592213543633,89.42699999999999,88.7081222668845,90.14587773311548,28.45,26.451761172812212,30.448238827187787,True,True
theta_up,0.3,0.005861540215690608,-0.001428045983936502,0.013151126415317717,86.604,86.03570057519053,87.17229942480947,46.5,44.81624981475384,48.18375018524616,True,True
theta_up,0.4,0.005861540215690608,-0.001428045983936502,0.013151126415317717,86.601,86.03237799900472,87.16962200099528,46.5,44.81624981475384,48.18375018524616,True,True
theta_up,0.5,0.005861540215690608,-0.001428045983936502,0.013151126415317717,86.593,86.02330306612821,87.1626969338718,46.5,44.81624981475384,48.18375018524616,True,True
theta_up,0.6,0.005861540215690608,-0.001428045983936502,0.013151126415317717,86.547,85.97817204608315,87.11582795391685,46.5,44.81624981475384,48.18375018524616,True,True
theta_up,0.7,0.005861540215690608,-0.001428045983936502,0.013151126415317717,86.31699999999998,85.74417771247664,86.88982228752332,46.4,44.70380109758359,48.096198902416404,True,True
theta_down,0.1,0.005861540215690608,-0.001428045983936502,0.013151126415317717,86.593,86.02330306612821,87.1626969338718,46.5,44.81624981475384,48.18375018524616,True,True
theta_down,0.2,0.005861540215690608,-0.001428045983936502,0.013151126415317717,86.593,86.02330306612821,87.1626969338718,46.5,44.81624981475384,48.18375018524616,True,True
theta_down,0.25,0.005861540215690608,-0.001428045983936502,0.013151126415317717,86.593,86.02330306612821,87.1626969338718,46.5,44.81624981475384,48.18375018524616,True,True
theta_down,0.3,0.005861540215690608,-0.001428045983936502,0.013151126415317717,86.593,86.02330306612821,87.1626969338718,46.5,44.81624981475384,48.18375018524616,True,True
theta_down,0.4,0.005861540215690608,-0.001428045983936502,0.013151126415317717,86.593,86.02330306612821,87.1626969338718,46.5,44.81624981475384,48.18375018524616,True,True
counter,1.0,0.005861540215690608,-0.001428045983936502,0.013151126415317717,88.801,88.28667822836532,89.31532177163469,47.6,45.67576231683552,49.524237683164486,True,True
counter,2.0,0.005861540215690608,-0.001428045983936502,0.013151126415317717,86.593,86.02330306612821,87.1626969338718,46.5,44.81624981475384,48.18375018524616,True,True
counter,3.0,0.005861540215690608,-0.001428045983936502,0.013151126415317717,84.444,83.81198713290084,85.07601286709917,45.64,44.030067248945734,47.24993275105427,True,True
counter,4.0,0.005861540215690608,-0.001428045983936502,0.013151126415317717,82.38,81.6886692427277,83.07133075727229,44.8,43.312393952440225,46.28760604755977,True,True
counter,5.0,0.005599862863865409,-0.0017794355817780192,0.012979161309508836,80.475,79.70523659746306,81.24476340253693,43.6,42.05759878964909,45.14240121035091,True,True
