n_ues,contention,snr,miss_mean,miss_ci_low,miss_ci_high,savings_mean,switches_mean,total_arrivals,total_misses
2,0.98,27,0.1857270590377136,0.1757121866220844,0.19616527776492118,84.5755,44.404999999999994,681107,1265
2,0.95,27,0.2080436700841424,0.19743308579110336,0.21907741271941955,84.54700000000001,44.525,681107,1417
2,0.92,27,0.24680409979636092,0.23523075239234936,0.25880027834093045,84.53399999999999,44.535000000000004,681107,1681
2,0.9,27,0.31507531122129123,0.301975946108872,0.32859692982737354,84.453,44.525,681107,2146
5,0.9,27,0.2755013672181594,0.2677085184798781,0.2834634398066347,84.8412,43.932,1700899,4686
5,0.85,27,0.34076097404960554,0.3320874887795084,0.34960346140152415,84.7424,43.82600000000001,1700899,5796
5,0.8,27,0.6812867783448635,0.669008522106069,0.693732878457084,84.231,44.894000000000005,1700899,11588
5,0.75,27,1.055265480196061,1.0399923618152047,1.0707051699472967,83.6418,45.174,1700899,17949
